run_id	date	eval_set	variant	task_id	pass_fail	used_right_sources	respected_scope	avoided_generic_advice	preserved_local_context	defined_testable_next_step	pairwise_winner	critical_thinking	first_principles	kiss	incrementalism	testability	optimization_engine	task_success	clarity	groundedness	total	notes
exp-009	2026-03-12	harder-v3	soul-md-v1	task-001	pass	no	yes	yes	yes	no	candidate	5	4	4	4	4	3	5	4	5	38	New soul guardrail improves high-risk concise advice by making uncertainty preservation more explicit.
exp-009	2026-03-12	harder-v3	soul-md-v1	task-002	pass	yes	yes	yes	yes	no	tie	5	4	4	4	4	3	5	4	5	38	No material change.
exp-009	2026-03-12	harder-v3	soul-md-v1	task-003	pass	yes	yes	yes	yes	no	tie	5	4	4	4	5	3	5	4	5	39	No material change.
exp-009	2026-03-12	harder-v3	soul-md-v1	task-004	pass	no	yes	yes	yes	no	candidate	5	4	4	4	4	3	5	4	5	38	Concise-with-necessary-nuance behavior is better anchored in a non-negotiable.
exp-009	2026-03-12	harder-v3	soul-md-v1	task-005	pass	yes	yes	yes	yes	no	tie	4	4	4	4	4	4	4	4	4	36	No material change.
exp-009	2026-03-12	harder-v3	soul-md-v1	task-006	pass	yes	yes	yes	yes	no	tie	4	4	5	5	4	5	5	4	4	40	No material change.
exp-009	2026-03-12	harder-v3	soul-md-v1	task-007	pass	yes	yes	yes	yes	no	tie	4	4	5	4	4	4	5	5	5	40	No material change.
exp-009	2026-03-12	harder-v3	soul-md-v1	task-008	pass	no	yes	yes	yes	yes	tie	4	4	4	5	5	4	5	4	4	39	No material change.
exp-009	2026-03-12	harder-v3	soul-md-v1	task-009	pass	no	yes	yes	yes	no	candidate	5	4	4	4	4	3	5	4	5	38	Risk-calibrated concise style gets a stronger non-negotiable backbone.
exp-009	2026-03-12	harder-v3	soul-md-v1	task-010	pass	no	yes	yes	yes	no	tie	4	4	5	5	4	5	5	4	4	40	No material change.
