run_id	date	eval_set	variant	task_id	pass_fail	used_right_sources	respected_scope	avoided_generic_advice	preserved_local_context	defined_testable_next_step	pairwise_winner	critical_thinking	first_principles	kiss	incrementalism	testability	optimization_engine	task_success	clarity	groundedness	total	notes
baseline-v3-v2-001	2026-03-12	harder-v3	baseline-v3-v2	task-001	pass	no	yes	yes	yes	no	baseline	4	4	4	4	3	3	4	4	4	34	Good but high-risk concise advice still depends more on style memory than soul-level guardrails.
baseline-v3-v2-001	2026-03-12	harder-v3	baseline-v3-v2	task-002	pass	yes	yes	yes	yes	no	baseline	5	4	4	4	4	3	5	4	5	38	Strong local/current-over-global routing.
baseline-v3-v2-001	2026-03-12	harder-v3	baseline-v3-v2	task-003	pass	yes	yes	yes	yes	no	baseline	5	4	4	4	5	3	5	4	5	39	Strong local-exception handling.
baseline-v3-v2-001	2026-03-12	harder-v3	baseline-v3-v2	task-004	pass	no	yes	yes	yes	no	baseline	4	4	4	4	3	3	4	4	4	34	Still somewhat implied on concise-with-necessary-nuance handling.
baseline-v3-v2-001	2026-03-12	harder-v3	baseline-v3-v2	task-005	pass	yes	yes	yes	yes	no	baseline	4	4	4	4	4	4	4	4	4	36	Promotion judgment remains solid.
baseline-v3-v2-001	2026-03-12	harder-v3	baseline-v3-v2	task-006	pass	yes	yes	yes	yes	no	baseline	4	4	5	5	4	5	5	4	4	40	Sync discipline remains strong.
baseline-v3-v2-001	2026-03-12	harder-v3	baseline-v3-v2	task-007	pass	yes	yes	yes	yes	no	baseline	4	4	5	4	4	4	5	5	5	40	Bootstrap guidance remains strong.
baseline-v3-v2-001	2026-03-12	harder-v3	baseline-v3-v2	task-008	pass	no	yes	yes	yes	yes	baseline	4	4	4	5	5	4	5	4	4	39	Plateau handling remains strong.
baseline-v3-v2-001	2026-03-12	harder-v3	baseline-v3-v2	task-009	pass	no	yes	yes	yes	no	baseline	5	4	4	4	4	3	5	4	5	38	Risk-calibrated concise style is already much stronger after exp-008.
baseline-v3-v2-001	2026-03-12	harder-v3	baseline-v3-v2	task-010	pass	no	yes	yes	yes	no	baseline	4	4	5	5	4	5	5	4	4	40	Leverage with restraint remains strong.
